from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
ch:1:sloid:92779:0:38284,ch:1:sloid:92779:0:268432,2,180,,,,
ch:1:sloid:92779:0:38284,ch:1:sloid:92779:0:935484,2,120,,,,
ch:1:sloid:92779:0:38284,ch:1:sloid:92779:0:724258,2,180,,,,
ch:1:sloid:92779:0:724258,ch:1:sloid:92779:0:268432,2,240,,,,
ch:1:sloid:92779:0:724258,ch:1:sloid:92779:0:935484,2,180,,,,
ch:1:sloid:92779:0:724258,ch:1:sloid:92779:0:38284,2,180,,,,
ch:1:sloid:92638:0:547854,ch:1:sloid:92638:0:306782,2,120,,,,
ch:1:sloid:92638:0:306782,ch:1:sloid:92638:0:547854,2,120,,,,
ch:1:sloid:92936:0:170153,ch:1:sloid:92936:0:109436,2,120,,,,
ch:1:sloid:92936:0:109436,ch:1:sloid:92936:0:170153,2,120,,,,
ch:1:sloid:87030:0:666385,ch:1:sloid:87030:0:725934,2,120,,,,
ch:1:sloid:87030:0:725934,ch:1:sloid:87030:0:666385,2,120,,,,
ch:1:sloid:3333:0:164397,ch:1:sloid:3333:0:529241,2,120,,,,
ch:1:sloid:3333:0:529241,ch:1:sloid:3333:0:164397,2,120,,,,
ch:1:sloid:92854:0:232126,ch:1:sloid:92854:0:403198,2,120,,,,
ch:1:sloid:92854:0:403198,ch:1:sloid:92854:0:232126,2,120,,,,
ch:1:sloid:92780:0:415510,ch:1:sloid:92780:0:344694,2,120,,,,
ch:1:sloid:92780:0:415510,ch:1:sloid:92780:0:540469,2,120,,,,
ch:1:sloid:92780:0:415510,ch:1:sloid:92780:0:138287,2,120,,,,
ch:1:sloid:92780:0:344694,ch:1:sloid:92780:0:415510,2,120,,,,
ch:1:sloid:92780:0:344694,ch:1:sloid:92780:0:540469,2,120,,,,
ch:1:sloid:92780:0:344694,ch:1:sloid:92780:0:138287,2,120,,,,
ch:1:sloid:92780:0:540469,ch:1:sloid:92780:0:415510,2,120,,,,
ch:1:sloid:92780:0:540469,ch:1:sloid:92780:0:344694,2,120,,,,
ch:1:sloid:92780:0:540469,ch:1:sloid:92780:0:138287,2,120,,,,
ch:1:sloid:92780:0:138287,ch:1:sloid:92780:0:415510,2,120,,,,
ch:1:sloid:92780:0:138287,ch:1:sloid:92780:0:344694,2,120,,,,
ch:1:sloid:92780:0:138287,ch:1:sloid:92780:0:540469,2,120,,,,
ch:1:sloid:93082:0:926090,ch:1:sloid:93082:0:863426,2,120,,,,
ch:1:sloid:93082:0:863426,ch:1:sloid:93082:0:926090,2,120,,,,
ch:1:sloid:93139:0:532679,ch:1:sloid:93139:0:478793,2,120,,,,
ch:1:sloid:93139:0:478793,ch:1:sloid:93139:0:532679,2,120,,,,
ch:1:sloid:93064:0:243882,ch:1:sloid:93064:0:22519,2,120,,,,
ch:1:sloid:93064:0:22519,ch:1:sloid:93064:0:243882,2,120,,,,
ch:1:sloid:92619:0:155552,ch:1:sloid:92619:0:583619,2,120,,,,
ch:1:sloid:92619:0:155552,ch:1:sloid:92619:0:292,2,120,,,,
ch:1:sloid:92619:0:155552,ch:1:sloid:92619:0:291,2,120,,,,
ch:1:sloid:92619:0:583619,ch:1:sloid:92619:0:155552,2,120,,,,
ch:1:sloid:92619:0:583619,ch:1:sloid:92619:0:292,2,120,,,,
ch:1:sloid:92619:0:583619,ch:1:sloid:92619:0:291,2,120,,,,
ch:1:sloid:1402566:0:709754,ch:1:sloid:1402566:0:140828,2,120,,,,
ch:1:sloid:1402566:0:140828,ch:1:sloid:1402566:0:709754,2,120,,,,
ch:1:sloid:93052:0:757913,ch:1:sloid:93052:0:308476,2,120,,,,
ch:1:sloid:93052:0:308476,ch:1:sloid:93052:0:757913,2,120,,,,
ch:1:sloid:93089:0:447261,ch:1:sloid:93089:0:306225,2,120,,,,
ch:1:sloid:93089:0:306225,ch:1:sloid:93089:0:447261,2,120,,,,
ch:1:sloid:87387:0:358648,ch:1:sloid:87387:0:222999,2,120,,,,
ch:1:sloid:87387:0:358648,ch:1:sloid:87387:0:812954,2,120,,,,
ch:1:sloid:87387:0:358648,ch:1:sloid:87387:0:547827,2,180,,,,
ch:1:sloid:87387:0:358648,ch:1:sloid:87387:0:128561,2,240,,,,
ch:1:sloid:87387:0:358648,ch:1:sloid:87387:0:544966,2,240,,,,
ch:1:sloid:87387:0:358648,ch:1:sloid:87387:0:491369,2,240,,,,
ch:1:sloid:87387:0:358648,ch:1:sloid:87387:0:114768,2,240,,,,
ch:1:sloid:87387:0:222999,ch:1:sloid:87387:0:358648,2,120,,,,
ch:1:sloid:87387:0:222999,ch:1:sloid:87387:0:812954,2,120,,,,
ch:1:sloid:87387:0:222999,ch:1:sloid:87387:0:547827,2,180,,,,
ch:1:sloid:87387:0:222999,ch:1:sloid:87387:0:128561,2,180,,,,
ch:1:sloid:87387:0:222999,ch:1:sloid:87387:0:544966,2,180,,,,
ch:1:sloid:87387:0:222999,ch:1:sloid:87387:0:491369,2,240,,,,
ch:1:sloid:87387:0:222999,ch:1:sloid:87387:0:114768,2,180,,,,
ch:1:sloid:87387:0:812954,ch:1:sloid:87387:0:358648,2,120,,,,
ch:1:sloid:87387:0:812954,ch:1:sloid:87387:0:222999,2,120,,,,
ch:1:sloid:87387:0:812954,ch:1:sloid:87387:0:547827,2,180,,,,
ch:1:sloid:87387:0:812954,ch:1:sloid:87387:0:128561,2,180,,,,
ch:1:sloid:87387:0:812954,ch:1:sloid:87387:0:544966,2,180,,,,
ch:1:sloid:87387:0:812954,ch:1:sloid:87387:0:491369,2,240,,,,
ch:1:sloid:87387:0:812954,ch:1:sloid:87387:0:114768,2,180,,,,
ch:1:sloid:87387:0:547827,ch:1:sloid:87387:0:358648,2,180,,,,
ch:1:sloid:87387:0:547827,ch:1:sloid:87387:0:222999,2,180,,,,
ch:1:sloid:87387:0:547827,ch:1:sloid:87387:0:812954,2,180,,,,
ch:1:sloid:87387:0:547827,ch:1:sloid:87387:0:128561,2,240,,,,
ch:1:sloid:87387:0:547827,ch:1:sloid:87387:0:544966,2,240,,,,
ch:1:sloid:87387:0:547827,ch:1:sloid:87387:0:491369,2,180,,,,
ch:1:sloid:87387:0:547827,ch:1:sloid:87387:0:114768,2,240,,,,
ch:1:sloid:87387:0:128561,ch:1:sloid:87387:0:358648,2,240,,,,
ch:1:sloid:87387:0:128561,ch:1:sloid:87387:0:222999,2,180,,,,
ch:1:sloid:87387:0:128561,ch:1:sloid:87387:0:812954,2,180,,,,
ch:1:sloid:87387:0:128561,ch:1:sloid:87387:0:547827,2,240,,,,
ch:1:sloid:87387:0:128561,ch:1:sloid:87387:0:544966,2,120,,,,
ch:1:sloid:87387:0:128561,ch:1:sloid:87387:0:491369,2,180,,,,
ch:1:sloid:87387:0:128561,ch:1:sloid:87387:0:114768,2,120,,,,
ch:1:sloid:87387:0:544966,ch:1:sloid:87387:0:358648,2,240,,,,
ch:1:sloid:87387:0:544966,ch:1:sloid:87387:0:222999,2,180,,,,
ch:1:sloid:87387:0:544966,ch:1:sloid:87387:0:812954,2,180,,,,
ch:1:sloid:87387:0:544966,ch:1:sloid:87387:0:547827,2,240,,,,
ch:1:sloid:87387:0:544966,ch:1:sloid:87387:0:128561,2,120,,,,
ch:1:sloid:87387:0:544966,ch:1:sloid:87387:0:491369,2,180,,,,
ch:1:sloid:87387:0:544966,ch:1:sloid:87387:0:114768,2,120,,,,
ch:1:sloid:87387:0:491369,ch:1:sloid:87387:0:358648,2,240,,,,
ch:1:sloid:87387:0:491369,ch:1:sloid:87387:0:222999,2,240,,,,
ch:1:sloid:87387:0:491369,ch:1:sloid:87387:0:812954,2,240,,,,
ch:1:sloid:87387:0:491369,ch:1:sloid:87387:0:547827,2,180,,,,
ch:1:sloid:87387:0:491369,ch:1:sloid:87387:0:128561,2,180,,,,
ch:1:sloid:87387:0:491369,ch:1:sloid:87387:0:544966,2,180,,,,
ch:1:sloid:87387:0:491369,ch:1:sloid:87387:0:114768,2,180,,,,
ch:1:sloid:87387:0:114768,ch:1:sloid:87387:0:358648,2,240,,,,
ch:1:sloid:87387:0:114768,ch:1:sloid:87387:0:222999,2,180,,,,
ch:1:sloid:87387:0:114768,ch:1:sloid:87387:0:812954,2,180,,,,
ch:1:sloid:87387:0:114768,ch:1:sloid:87387:0:547827,2,240,,,,
ch:1:sloid:87387:0:114768,ch:1:sloid:87387:0:128561,2,120,,,,
ch:1:sloid:87387:0:114768,ch:1:sloid:87387:0:544966,2,120,,,,
ch:1:sloid:87387:0:114768,ch:1:sloid:87387:0:491369,2,180,,,,
ch:1:sloid:93141:0:124269,ch:1:sloid:93141:0:734340,2,120,,,,
ch:1:sloid:93141:0:734340,ch:1:sloid:93141:0:124269,2,120,,,,
ch:1:sloid:1401656:0:969661,ch:1:sloid:1401656:0:723381,2,120,,,,
ch:1:sloid:93142:0:818116,ch:1:sloid:93142:0:899470,2,120,,,,
ch:1:sloid:93142:0:899470,ch:1:sloid:93142:0:818116,2,120,,,,
ch:1:sloid:95039:0:312935,ch:1:sloid:95039:0:538598,2,120,,,,
ch:1:sloid:95039:0:538598,ch:1:sloid:95039:0:312935,2,120,,,,
ch:1:sloid:93199:0:635065,ch:1:sloid:93199:0:69984,2,120,,,,
ch:1:sloid:93199:0:69984,ch:1:sloid:93199:0:635065,2,120,,,,
ch:1:sloid:93091:0:840117,ch:1:sloid:93091:0:314134,2,120,,,,
ch:1:sloid:93091:0:314134,ch:1:sloid:93091:0:840117,2,120,,,,
ch:1:sloid:92785:0:79317,ch:1:sloid:92785:0:711633,2,120,,,,
