stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone_header
ch:1:sloid:87386:0:562718,,"Confignon, croisée",,46.1786340,6.08806400,,,0,S0100559,,
S0100560,,Nant-de-Crève-Coeur,,46.2746940,6.16090600,,,1,,,
0100560_E,,Nant-de-Crève-Coeur,,46.2746940,6.16090600,,,0,S0100560,E,
ch:1:sloid:8290:0:755517,,"Versoix, Nant-de-Crève-Coeur",,46.2746940,6.16090600,,,0,S0100560,,
S0100561,,Nant-de-Crève-Coeur,,46.2747730,6.16074800,,,1,,,
0100561_F,,Nant-de-Crève-Coeur,,46.2747730,6.16074800,,,0,S0100561,F,
ch:1:sloid:8290:0:518761,,"Versoix, Nant-de-Crève-Coeur",,46.2747730,6.16074800,,,0,S0100561,,
S0100562,,Crest-d'El,,46.2666720,6.13054400,,,1,,,
0100562_I,,Crest-d'El,,46.2666720,6.13054400,,,0,S0100562,I,
ch:1:sloid:3040:0:419391,,"Collex, Crest-d'El",,46.2666720,6.13054400,,,0,S0100562,,
S0100563,,Crest-d'El,,46.2665080,6.13035300,,,1,,,
0100563_J,,Crest-d'El,,46.2665080,6.13035300,,,0,S0100563,J,
ch:1:sloid:3040:0:979360,,"Collex, Crest-d'El",,46.2665080,6.13035300,,,0,S0100563,,
S0100564,,CO Renard,,46.1962830,6.09391000,,,1,,,
0100564_L,,CO Renard,,46.1962830,6.09391000,,,0,S0100564,L,
ch:1:sloid:93147:0:980337,,"Vernier, CO Renard",,46.1962830,6.09391000,,,0,S0100564,,
S0100566,,Carouge-Rondeau,,46.1798460,6.13852100,,,1,,,
0100566_B,,Carouge-Rondeau,,46.1798460,6.13852100,,,0,S0100566,B,
ch:1:sloid:87437:0:176358,,"Carouge GE, Rondeau",,46.1798460,6.13852100,,,0,S0100566,,
S0100567,,Carouge-Rondeau,,46.1797070,6.13810900,,,1,,,
0100567_A,,Carouge-Rondeau,,46.1797070,6.13810900,,,0,S0100567,A,
ch:1:sloid:87437:0:728178,,"Carouge GE, Rondeau",,46.1797070,6.13810900,,,0,S0100567,,
S0100568,,Carouge-Rondeau,,46.1793760,6.13906300,,,1,,,
0100568_C,,Carouge-Rondeau,,46.1793760,6.13906300,,,0,S0100568,C,
ch:1:sloid:87437:0:481667,,"Carouge GE, Rondeau",,46.1793760,6.13906300,,,0,S0100568,,
S0100569,,Carouge-Rondeau,,46.1807430,6.13824000,,,1,,,
0100569_D,,Carouge-Rondeau,,46.1807430,6.13824000,,,0,S0100569,D,
ch:1:sloid:87437:0:108603,,"Carouge GE, Rondeau",,46.1807430,6.13824000,,,0,S0100569,,
S0100570,,Carouge-Rondeau,,46.1806620,6.13828100,,,1,,,
0100570_E,,Carouge-Rondeau,,46.1806620,6.13828100,,,0,S0100570,E,
ch:1:sloid:87437:0:547823,,"Carouge GE, Rondeau",,46.1806620,6.13828100,,,0,S0100570,,
S0100571,,Chemin du Righi,,46.2164020,6.17675000,,,1,,,
0100571_E,,Chemin du Righi,,46.2164020,6.17675000,,,0,S0100571,E,
ch:1:sloid:92742:0:421541,,"Cologny, Chemin du Righi",,46.2164020,6.17675000,,,0,S0100571,,
S0100572,,Chemin du Righi,,46.2159730,6.17626700,,,1,,,
0100572_F,,Chemin du Righi,,46.2159730,6.17626700,,,0,S0100572,F,
ch:1:sloid:92742:0:748177,,"Cologny, Chemin du Righi",,46.2159730,6.17626700,,,0,S0100572,,
S0100573,,Cartigny-Moulin-de-Vert,,46.1750990,6.02202400,,,1,,,
0100573_Q,,Cartigny-Moulin-de-Vert,,46.1750990,6.02202400,,,0,S0100573,Q,
ch:1:sloid:92687:0:868558,,"Cartigny, Moulin-de-Vert",,46.1750990,6.02202400,,,0,S0100573,,
S0100574,,Cartigny-Moulin-de-Vert,,46.1749920,6.02211700,,,1,,,
0100574_R,,Cartigny-Moulin-de-Vert,,46.1749920,6.02211700,,,0,S0100574,R,
ch:1:sloid:92687:0:884176,,"Cartigny, Moulin-de-Vert",,46.1749920,6.02211700,,,0,S0100574,,
S0100575,,Cornière,,46.2083710,6.24075700,,,1,,,
0100575_A,,Cornière,,46.2083710,6.24075700,,,0,S0100575,A,
ch:1:sloid:93083:0:481143,,"Puplinge, Cornière",,46.2083710,6.24075700,,,0,S0100575,,
S0100576,,Cornière,,46.2084040,6.24051000,,,1,,,
0100576_B,,Cornière,,46.2084040,6.24051000,,,0,S0100576,B,
ch:1:sloid:93083:0:603889,,"Puplinge, Cornière",,46.2084040,6.24051000,,,0,S0100576,,
S0100577,,Crédery,,46.2194910,6.02215200,,,1,,,
0100577_U,,Crédery,,46.2194910,6.02215200,,,0,S0100577,U,
ch:1:sloid:93095:0:732652,,"Satigny, Crédery",,46.2194910,6.02215200,,,0,S0100577,,
S0100578,,Cressy,,46.1823070,6.08825800,,,1,,,
0100578_Q,,Cressy,,46.1823070,6.08825800,,,0,S0100578,Q,
ch:1:sloid:92755:0:637672,,"Bernex, Cressy",,46.1823070,6.08825800,,,0,S0100578,,
S0100579,,Crête,,46.2178160,6.21041500,,,1,,,
0100579_T,,Crête,,46.2178160,6.21041500,,,0,S0100579,T,
ch:1:sloid:93129:0:685718,,"Vandoeuvres, Crête",,46.2178160,6.21041500,,,0,S0100579,,
S0100580,,Crête,,46.2178350,6.21055700,,,1,,,
0100580_U,,Crête,,46.2178350,6.21055700,,,0,S0100580,U,
ch:1:sloid:93129:0:683869,,"Vandoeuvres, Crête",,46.2178350,6.21055700,,,0,S0100580,,
S0100581,,Crête,,46.2170020,6.21167800,,,1,,,
0100581_V,,Crête,,46.2170020,6.21167800,,,0,S0100581,V,
ch:1:sloid:93129:0:148436,,"Vandoeuvres, Crête",,46.2170020,6.21167800,,,0,S0100581,,
S0100582,,Crête,,46.2169390,6.21169200,,,1,,,
0100582_W,,Crête,,46.2169390,6.21169200,,,0,S0100582,W,
ch:1:sloid:93129:0:567806,,"Vandoeuvres, Crête",,46.2169390,6.21169200,,,0,S0100582,,
S0100583,,Cartigny-Village,,46.1729490,6.01996800,,,1,,,
0100583_S,,Cartigny-Village,,46.1729490,6.01996800,,,0,S0100583,S,
ch:1:sloid:87038:0:75235,,"Cartigny, village",,46.1729490,6.01996800,,,0,S0100583,,
S0100584,,Cartigny-Village,,46.1730040,6.02000600,,,1,,,
0100584_T,,Cartigny-Village,,46.1730040,6.02000600,,,0,S0100584,T,
ch:1:sloid:87038:0:797310,,"Cartigny, village",,46.1730040,6.02000600,,,0,S0100584,,
S0100585,,Contamines,,46.1963250,6.15638200,,,1,,,
0100585_Q,,Contamines,,46.1963250,6.15638200,,,0,S0100585,Q,
ch:1:sloid:92810:0:415101,,"Genève, Contamines",,46.1963250,6.15638200,,,0,S0100585,,
S0100586,,Contamines,,46.1957380,6.15618900,,,1,,,
0100586_R,,Contamines,,46.1957380,6.15618900,,,0,S0100586,R,
ch:1:sloid:92810:0:821732,,"Genève, Contamines",,46.1957380,6.15618900,,,0,S0100586,,
S0100587,,Cottenets,,46.1624190,6.05884100,,,1,,,
0100587_E,,Cottenets,,46.1624190,6.05884100,,,0,S0100587,E,
ch:1:sloid:92652:0:326577,,"Bernex, Cottenets",,46.1624190,6.05884100,,,0,S0100587,,
